Unused_Fields,
tfdate,
tfddiffcalc,
indexciccomprank,
indexciccompranksup,
indexiiccomprank,
indexiiccompranksup,
indexsalescomprank,
indexsalescompranksup,
indexuicomprank,
indexuicompranksup,
indexpropcomprank,
indexpropcompranksup,
previousindexrank,
previousindexranksup,
burdensscore,
tpsrdollar,
tpsrrank,
tpsrranksup,
iitdescrip,
iitraterank,
iitrateranksup,
iittopkickin,
iitdollar,
iitdollarrank,
iitdollarranksup,
corpraterank,
corprateranksup,
corpcollrank,
corpcollranksupp,
saleslocalrate,
salesraterank,
salesrateranksup,
salesdollar,
salesdollarrank,
salesdollarranksup,
propertyrank,
propertymeantax,
propertymeantaxrank,
propertymeantaxranksup,
excisetaxcoll,
excisedollarrank,
excisedollarranksup,
gastaxrate,
gasrank,
cigrank,
spiritsrank,
winerate,
winerank,
wineranksup,
beerrate,
beerrank,
beerranksup,
cellrate,
cellrank,
cellranksupp,
sourceiic,
sourceother,
revpercap,
revpercaprank,
revpercapranksup,
rankfed,
estatetaxrate,
estatetaxexempt,
incomepercaprank2,
SLdebtpercap,
sldebt,
Sldebtrank,
